,same class,different classes
36_33HP1_0000_matching_graph,102,46
37_151HP1_0000_matching_graph,102,46
39_276HP1_0000_matching_graph,102,46
41_188HP1_0000_matching_graph,102,46
43_250HP1_0000_matching_graph,102,46
45_23HP1_0000_matching_graph,102,46
38_64HP1_0017_matching_graph,12,38
40_159HP1_0017_matching_graph,12,38
42_541HP1_0017_matching_graph,12,38
44_469HP1_0017_matching_graph,12,38
46_363HP1_0017_matching_graph,12,38
47_509HP1_0017_matching_graph,12,38
48_540HP1_0017_matching_graph,12,38
49_688HP1_0017_matching_graph,12,38
51_728HP1_0017_matching_graph,12,38
54_679HP1_0017_matching_graph,12,38
55_781HP1_0017_matching_graph,12,38
56_849HP1_0017_matching_graph,12,38
57_654HP1_0017_matching_graph,12,38
58_668HP1_0017_matching_graph,12,38
59_684HP1_0017_matching_graph,12,38
60_702HP1_0017_matching_graph,12,38
61_738HP1_0017_matching_graph,12,38
62_753HP1_0017_matching_graph,12,38
63_832HP1_0017_matching_graph,12,38
64_854HP1_0017_matching_graph,12,38
15_742HP1_0019_matching_graph,122,46
50_449HP1_0022_matching_graph,104,43
53_1010HP1_0022_matching_graph,104,43
74_20HP1_0023_matching_graph,4,38
77_107HP1_0023_matching_graph,4,38
65_332HP1_0027_matching_graph,159,40
66_445HP1_0027_matching_graph,159,40
67_912HP1_0027_matching_graph,159,40
69_645HP1_0030_matching_graph,93,39
70_667HP1_0030_matching_graph,93,39
71_894HP1_0030_matching_graph,93,39
72_144HP1_0030_matching_graph,118,42
75_214HP1_0030_matching_graph,118,42
78_1084HP1_0030_matching_graph,93,39
79_265HP1_0030_matching_graph,118,42
73_250HP1_0031_matching_graph,103,42
76_444HP1_0031_matching_graph,103,42
16_276HP1_0032_matching_graph,9,32
17_317HP1_0032_matching_graph,9,32
18_599HP1_0032_matching_graph,9,32
19_587HP1_0032_matching_graph,9,32
20_687HP1_0032_matching_graph,9,32
21_803HP1_0032_matching_graph,9,32
22_782HP1_0032_matching_graph,9,32
23_783HP1_0032_matching_graph,9,32
24_945HP1_0032_matching_graph,9,32
25_981HP1_0032_matching_graph,9,32
26_845HP1_0032_matching_graph,9,32
27_1015HP1_0032_matching_graph,9,32
28_1073HP1_0032_matching_graph,9,32
29_997HP1_0032_matching_graph,9,32
30_1144HP1_0032_matching_graph,9,32
31_1108HP1_0032_matching_graph,9,32
32_1132HP1_0032_matching_graph,9,32
33_963HP1_0032_matching_graph,9,32
34_1105HP1_0032_matching_graph,9,32
35_1129HP1_0032_matching_graph,9,32
52_742HP1_0032_matching_graph,80,39
0_269HP1_0043_matching_graph,79,46
10_1120HP1_0043_matching_graph,79,46
11_1139HP1_0043_matching_graph,79,46
12_1150HP1_0043_matching_graph,79,46
13_1196HP1_0043_matching_graph,79,46
14_1210HP1_0043_matching_graph,79,46
1_189HP1_0043_matching_graph,79,46
2_297HP1_0043_matching_graph,79,46
3_435HP1_0043_matching_graph,79,46
4_587HP1_0043_matching_graph,79,46
5_664HP1_0043_matching_graph,79,46
68_1214HP1_0043_matching_graph,19,7
6_674HP1_0043_matching_graph,79,46
7_1015HP1_0043_matching_graph,79,46
8_1005HP1_0043_matching_graph,79,46
9_1137HP1_0043_matching_graph,79,46
