,same class,different classes
75_45FP1_0000_matching_graph,179,44
76_58FP1_0000_matching_graph,179,44
77_122FP1_0000_matching_graph,179,44
78_174FP1_0000_matching_graph,179,44
17_328FP1_0005_matching_graph,202,47
18_418FP1_0005_matching_graph,202,47
19_196FP1_0005_matching_graph,202,47
20_268FP1_0005_matching_graph,202,47
21_413FP1_0005_matching_graph,202,47
33_65FP1_0005_matching_graph,311,48
59_96FP1_0007_matching_graph,324,49
60_266FP1_0007_matching_graph,324,49
61_460FP1_0007_matching_graph,324,49
0_328FP1_0008_matching_graph,204,48
10_380FP1_0008_matching_graph,204,48
11_417FP1_0008_matching_graph,204,48
12_444FP1_0008_matching_graph,204,48
13_459FP1_0008_matching_graph,204,48
14_468FP1_0008_matching_graph,204,48
15_340FP1_0008_matching_graph,204,48
16_366FP1_0008_matching_graph,204,48
1_285FP1_0008_matching_graph,204,48
2_358FP1_0008_matching_graph,204,48
34_482FP1_0008_matching_graph,321,48
3_396FP1_0008_matching_graph,204,48
46_85FP1_0008_matching_graph,478,49
47_292FP1_0008_matching_graph,478,49
48_503FP1_0008_matching_graph,478,49
49_425FP1_0008_matching_graph,478,49
4_432FP1_0008_matching_graph,204,48
50_455FP1_0008_matching_graph,478,49
5_448FP1_0008_matching_graph,204,48
6_272FP1_0008_matching_graph,204,48
7_295FP1_0008_matching_graph,204,48
8_375FP1_0008_matching_graph,204,48
9_420FP1_0008_matching_graph,204,48
74_698FP1_0017_matching_graph,336,48
51_166FP1_0020_matching_graph,331,47
52_843FP1_0020_matching_graph,331,47
53_295FP1_0020_matching_graph,216,47
54_651FP1_0020_matching_graph,216,47
55_711FP1_0020_matching_graph,216,47
56_822FP1_0020_matching_graph,216,47
57_938FP1_0020_matching_graph,216,47
58_797FP1_0020_matching_graph,216,47
22_196FP1_0021_matching_graph,322,48
31_670FP1_0021_matching_graph,175,48
32_928FP1_0021_matching_graph,175,48
62_529FP1_0022_matching_graph,304,47
63_819FP1_0022_matching_graph,304,47
64_56FP1_0026_matching_graph,189,48
65_392FP1_0026_matching_graph,189,48
66_746FP1_0026_matching_graph,189,48
67_936FP1_0026_matching_graph,189,48
70_114FP1_0030_matching_graph,297,47
72_1086FP1_0030_matching_graph,297,47
73_729FP1_0032_matching_graph,190,45
23_36FP1_0035_matching_graph,212,50
24_386FP1_0035_matching_graph,212,50
25_744FP1_0035_matching_graph,212,50
26_1193FP1_0035_matching_graph,212,50
27_1037FP1_0035_matching_graph,212,50
28_1055FP1_0035_matching_graph,212,50
29_1199FP1_0035_matching_graph,212,50
30_1020FP1_0035_matching_graph,212,50
68_190FP1_0035_matching_graph,449,50
69_488FP1_0035_matching_graph,449,50
71_746FP1_0035_matching_graph,449,50
79_185FP1_0037_matching_graph,302,48
35_684FP1_0042_matching_graph,219,47
36_710FP1_0042_matching_graph,219,47
37_828FP1_0042_matching_graph,219,47
38_767FP1_0042_matching_graph,219,47
39_816FP1_0042_matching_graph,219,47
40_1181FP1_0042_matching_graph,219,47
41_1162FP1_0042_matching_graph,219,47
42_1206FP1_0042_matching_graph,219,47
43_1174FP1_0042_matching_graph,219,47
44_1217FP1_0042_matching_graph,219,47
45_1140FP1_0042_matching_graph,219,47
